student_id,batch,gender,branch,tenth_pct,twelfth_or_diploma_pct,cgpa,active_backlogs,backlog_history,coding_problems_solved,aptitude_score_pct,communication_score,projects_count,project_quality_score,internships_count,internship_months,certifications_count,hackathons_count,club_roles_count,github_public_repos,github_contributions_last_year,github_stars_count,linkedin_connections_count,linkedin_profile_score,placed
STU-1011,Batch 2025,Male,Electronics,93.0,66.0,5.0,0,0,1,52.3,2.8,1,4.7,0,0,0,0,1,1,132,0,448,2.3,0
STU-1012,Batch 2025,Male,Electronics,74.8,82.3,8.39,0,0,2,57.3,3.3,1,1.3,0,0,2,0,0,12,180,2,310,4.1,1
STU-1013,Batch 2023,Female,Computer Science,75.5,85.3,8.8,0,1,97,69.0,3.9,1,3.6,1,6,0,2,0,1,290,0,263,4.8,0
STU-1014,Batch 2023,Female,Mechanical,91.3,57.3,8.12,0,0,67,82.4,3.4,1,5.0,1,6,1,1,1,6,108,5,149,2.9,1
STU-1015,Batch 2023,Male,Civil,83.6,66.6,6.15,0,1,80,75.0,3.2,2,3.5,1,2,2,0,0,20,306,0,20,3.4,1
STU-1016,Batch 2024,Male,Computer Science,82.6,66.5,7.18,0,0,1,71.5,3.4,3,4.7,0,0,3,0,0,12,137,0,175,3.1,1
STU-1017,Batch 2024,Female,Computer Science,98.0,64.7,7.39,0,0,60,69.1,2.9,1,2.6,1,2,0,1,0,20,74,0,476,4.6,1
STU-1018,Batch 2024,Female,Mechanical,71.6,84.1,8.06,0,1,139,73.6,3.1,2,3.2,0,0,1,0,0,3,193,0,264,3.7,1
STU-1019,Batch 2023,Male,Electronics,87.3,72.9,8.14,0,0,64,70.8,1.7,2,3.2,0,0,1,0,1,1,228,0,296,5.0,1
STU-1020,Batch 2024,Female,Computer Science,78.6,72.1,6.59,0,0,145,53.6,4.2,0,1.2,1,2,0,0,0,1,147,0,412,3.9,0
STU-1021,Batch 2023,Male,Computer Science,80.7,53.0,7.49,0,0,29,68.6,3.6,3,2.1,3,9,0,2,0,3,10,2,500,3.8,0
STU-1022,Batch 2023,Male,Information Tech,93.3,82.0,7.9,0,1,185,53.0,2.8,2,2.2,0,0,1,1,1,6,34,5,500,3.7,1
STU-1023,Batch 2024,Female,Information Tech,83.1,61.4,9.0,0,0,98,69.1,4.9,1,3.9,1,3,1,3,0,1,60,0,184,4.3,1
STU-1024,Batch 2024,Male,Electronics,83.4,75.7,8.17,0,0,26,61.3,3.5,2,4.0,1,6,0,1,0,6,60,0,48,2.2,0
STU-1025,Batch 2025,Female,Information Tech,88.7,78.1,8.27,0,0,30,98.0,2.6,1,3.5,1,2,1,2,0,3,201,5,500,3.7,1
STU-1026,Batch 2023,Male,Information Tech,74.4,90.0,7.49,0,0,109,67.4,4.1,2,3.9,2,4,1,0,0,3,10,0,500,3.5,1
STU-1027,Batch 2024,Male,Electronics,69.6,60.6,8.95,0,0,195,48.3,3.7,0,3.1,1,3,2,1,2,6,254,5,346,4.2,1
STU-1028,Batch 2024,Other,Computer Science,67.6,48.0,7.85,0,0,59,66.1,3.7,3,4.3,0,0,2,0,1,3,56,0,142,3.4,1
STU-1029,Batch 2023,Male,Computer Science,58.3,77.0,6.45,1,1,33,75.3,3.1,2,3.2,3,6,1,1,0,12,67,2,455,2.8,0
STU-1030,Batch 2024,Female,Electronics,98.0,94.8,8.94,0,0,222,91.4,3.8,2,3.3,1,2,3,0,0,1,135,2,305,3.6,1
STU-1031,Batch 2023,Male,Mechanical,67.0,88.6,8.17,1,1,122,59.7,3.2,1,3.0,2,4,2,0,0,6,44,2,304,2.7,0
STU-1032,Batch 2023,Male,Information Tech,75.8,77.3,6.91,0,1,65,45.8,3.8,2,3.8,1,3,0,2,0,1,388,5,445,2.1,1
STU-1033,Batch 2025,Male,Information Tech,75.2,69.6,6.87,0,0,74,79.4,1.9,2,2.8,2,4,0,2,0,1,16,0,367,4.2,1
STU-1034,Batch 2025,Female,Computer Science,81.1,83.9,7.73,0,1,25,48.7,3.1,2,4.1,0,0,1,0,0,6,106,0,154,4.1,0
STU-1035,Batch 2025,Male,Information Tech,86.2,64.3,7.91,0,0,108,61.9,4.8,2,2.2,0,0,1,1,1,12,341,2,275,4.0,1
STU-1036,Batch 2024,Female,Information Tech,86.6,80.2,7.62,1,1,49,64.4,2.8,2,2.2,2,4,1,0,1,3,172,5,413,4.6,0
STU-1037,Batch 2023,Male,Computer Science,72.2,80.6,7.74,0,1,598,67.0,2.9,3,3.8,0,0,1,0,0,3,62,0,391,3.1,1
STU-1038,Batch 2025,Female,Computer Science,76.3,86.7,9.27,0,0,72,77.6,3.0,2,3.1,0,0,1,1,0,3,98,5,357,2.5,1
STU-1039,Batch 2024,Male,Information Tech,80.8,97.0,8.58,0,0,73,58.4,2.4,3,2.8,1,2,1,0,0,3,221,0,451,3.5,1
STU-1040,Batch 2023,Female,Computer Science,75.5,79.3,7.61,0,1,92,64.2,1.6,3,4.0,2,6,0,2,1,12,652,0,269,3.3,1
STU-1041,Batch 2024,Female,Computer Science,94.1,69.4,8.44,0,0,273,67.8,3.2,2,2.7,0,0,2,0,1,6,403,2,345,2.9,1
STU-1042,Batch 2023,Female,Computer Science,82.9,74.7,6.26,2,2,177,70.1,3.5,1,3.0,2,6,0,1,2,1,75,0,20,3.5,0
STU-1043,Batch 2025,Female,Computer Science,85.3,55.5,7.84,1,1,66,69.4,3.4,2,4.5,1,2,3,1,0,3,1137,2,257,3.1,1
STU-1044,Batch 2023,Female,Computer Science,84.6,67.4,9.39,0,0,140,74.1,3.3,3,4.6,1,3,0,0,0,6,10,0,427,2.1,1
STU-1045,Batch 2025,Female,Mechanical,89.7,70.5,7.16,0,0,97,79.8,3.4,1,4.6,2,6,3,0,0,3,10,0,265,3.2,0
STU-1046,Batch 2024,Male,Information Tech,79.8,69.2,6.47,1,1,75,73.5,4.2,2,2.9,0,0,0,1,0,6,313,2,255,2.7,1
STU-1047,Batch 2024,Male,Electronics,65.0,76.7,6.68,0,0,23,74.4,3.2,3,4.3,0,0,0,1,0,1,40,2,174,3.8,0
STU-1048,Batch 2024,Female,Electronics,82.0,66.0,6.2,1,1,69,45.8,2.9,1,2.3,0,0,0,0,0,6,11,0,460,3.1,0
STU-1049,Batch 2023,Female,Information Tech,71.5,87.3,6.54,0,0,31,68.7,3.2,2,2.4,1,3,1,0,0,1,49,0,397,4.5,1
STU-1050,Batch 2025,Female,Computer Science,72.7,75.0,6.99,0,0,271,74.7,3.9,1,1.1,1,3,2,0,0,12,100,0,436,4.9,1
STU-1051,Batch 2025,Male,Information Tech,83.9,74.9,5.85,0,0,45,78.2,4.5,1,4.7,1,2,1,0,0,3,236,0,78,4.1,1
STU-1052,Batch 2025,Male,Information Tech,90.4,71.4,7.42,0,0,335,58.3,2.9,2,2.4,1,3,2,0,0,3,176,15,298,2.4,0
STU-1053,Batch 2025,Male,Electronics,78.2,76.7,8.39,1,1,84,58.8,3.5,0,3.1,1,2,1,0,0,12,49,5,281,4.8,0
STU-1054,Batch 2024,Female,Information Tech,81.1,84.1,6.4,1,1,110,60.0,3.7,1,2.4,1,2,1,1,0,1,126,0,281,4.9,0
STU-1055,Batch 2025,Male,Computer Science,95.0,65.5,9.07,0,0,86,75.5,2.6,3,3.8,0,0,2,1,0,3,469,0,234,3.6,1
STU-1056,Batch 2023,Male,Computer Science,80.4,67.8,7.96,0,0,15,82.5,3.4,1,2.9,0,0,0,2,0,3,304,15,272,4.7,1
STU-1057,Batch 2023,Male,Information Tech,98.0,71.7,8.53,0,1,52,62.3,2.2,4,2.0,2,4,0,1,0,3,70,2,439,3.2,1
STU-1058,Batch 2023,Male,Electronics,83.7,60.2,6.68,0,0,11,80.7,2.0,4,3.6,0,0,2,2,2,12,726,2,52,2.1,1
STU-1059,Batch 2024,Female,Information Tech,60.4,66.0,8.34,0,0,107,69.7,3.7,1,1.9,0,0,2,0,0,6,222,2,500,3.0,1
STU-1060,Batch 2024,Male,Information Tech,85.5,69.8,6.2,3,3,65,66.3,3.1,0,2.4,1,2,3,1,0,1,12,0,388,5.0,0
STU-1061,Batch 2023,Female,Civil,81.8,84.6,8.38,0,0,166,65.0,3.6,2,1.3,0,0,2,3,0,6,10,0,314,2.4,1
STU-1062,Batch 2025,Male,Electronics,90.9,77.9,7.59,0,1,27,78.5,3.4,2,1.9,2,12,0,1,1,3,33,15,447,3.6,1
STU-1063,Batch 2024,Male,Computer Science,84.7,77.1,8.01,0,1,20,72.6,2.6,1,3.4,0,0,2,0,0,12,234,2,117,3.6,1
STU-1064,Batch 2023,Male,Computer Science,76.6,84.4,6.11,1,1,57,98.0,3.4,2,1.4,0,0,1,1,0,3,37,0,227,3.2,0
STU-1065,Batch 2024,Male,Computer Science,65.8,73.5,6.42,1,1,287,56.1,2.4,0,1.9,0,0,3,2,0,6,129,0,303,3.2,0
STU-1066,Batch 2023,Male,Computer Science,75.9,79.3,8.06,0,1,136,75.3,4.5,3,3.2,1,2,1,1,1,3,18,0,500,3.7,1
STU-1067,Batch 2025,Male,Computer Science,69.5,73.9,6.36,0,1,60,60.6,2.3,1,2.7,0,0,1,0,1,3,457,2,313,3.2,0
STU-1068,Batch 2023,Female,Computer Science,72.2,77.9,7.91,0,0,80,55.8,3.2,1,5.0,1,6,1,1,0,3,76,0,383,2.5,1
STU-1069,Batch 2025,Male,Computer Science,83.9,68.6,5.9,1,1,10,67.8,2.6,1,4.9,2,6,0,3,1,3,430,0,237,3.8,0
STU-1070,Batch 2025,Female,Computer Science,94.7,48.2,8.33,0,0,459,69.9,3.9,4,2.4,2,4,0,0,1,6,522,15,388,4.5,1
STU-1071,Batch 2023,Female,Mechanical,81.9,73.5,6.04,1,2,121,98.0,3.1,2,3.7,0,0,2,1,0,3,10,0,500,4.3,0
STU-1072,Batch 2023,Female,Computer Science,66.0,90.7,8.01,0,0,37,65.4,3.0,3,3.9,1,2,2,0,0,20,112,0,459,3.0,1
STU-1073,Batch 2025,Male,Information Tech,82.4,85.2,8.09,1,1,97,52.2,4.1,1,2.7,1,6,0,1,0,3,10,0,309,2.6,0
STU-1074,Batch 2025,Male,Information Tech,90.0,85.6,6.63,0,0,13,71.8,3.4,1,1.9,2,4,2,1,1,6,431,0,415,3.4,1
STU-1075,Batch 2025,Male,Civil,71.9,88.6,8.04,0,0,371,39.0,3.8,1,3.2,3,6,1,0,0,12,132,0,401,4.9,1
STU-1076,Batch 2025,Male,Computer Science,76.7,76.0,7.69,0,0,21,66.7,2.6,2,3.0,0,0,1,0,2,6,14,15,391,4.1,1
STU-1077,Batch 2023,Other,Information Tech,78.1,77.2,6.81,0,1,115,68.2,2.3,2,2.8,1,6,0,1,0,12,21,5,476,4.2,1
STU-1078,Batch 2024,Male,Civil,70.2,68.2,6.29,2,2,31,79.1,3.5,2,3.6,0,0,2,0,0,12,87,0,475,4.3,0
STU-1079,Batch 2023,Male,Mechanical,84.5,71.5,5.24,1,1,139,81.6,3.1,1,2.5,0,0,1,0,1,3,507,0,302,3.9,1
STU-1080,Batch 2025,Female,Mechanical,76.8,81.8,7.78,1,1,165,61.0,3.9,3,2.2,0,0,1,1,0,6,213,2,410,3.7,0
STU-1081,Batch 2024,Female,Computer Science,82.2,88.2,5.68,3,3,123,65.9,3.3,1,3.3,1,6,1,0,0,1,364,0,266,4.1,1
STU-1082,Batch 2024,Female,Computer Science,69.1,73.5,7.5,0,0,105,57.3,3.6,4,3.5,1,2,0,0,0,3,82,0,191,3.2,1
STU-1083,Batch 2023,Male,Electronics,73.6,70.0,7.11,0,0,245,52.2,2.1,0,2.1,0,0,1,2,0,3,10,15,282,2.5,0
STU-1084,Batch 2024,Male,Civil,85.2,75.0,8.15,0,0,9,72.3,4.9,2,4.0,1,2,0,0,0,6,659,0,309,4.2,1
STU-1085,Batch 2024,Male,Information Tech,74.3,81.6,7.07,0,0,44,50.2,3.3,1,1.6,0,0,0,0,0,3,10,0,87,4.6,1
STU-1086,Batch 2025,Male,Information Tech,95.3,59.1,7.04,0,0,31,62.2,4.0,2,2.7,1,2,1,1,0,3,531,0,440,2.7,0
STU-1087,Batch 2024,Male,Computer Science,74.0,49.7,8.21,1,1,487,54.1,2.7,2,3.0,0,0,2,1,2,3,83,0,20,4.3,0
STU-1088,Batch 2025,Male,Electronics,80.2,68.9,7.77,0,1,54,75.7,3.6,2,2.6,0,0,1,2,2,20,10,0,500,4.9,0
STU-1089,Batch 2024,Male,Computer Science,87.3,61.6,7.75,0,1,145,93.2,2.4,2,2.7,0,0,0,2,0,1,210,0,500,3.6,1
STU-1090,Batch 2023,Male,Computer Science,63.8,69.4,7.92,0,0,127,49.8,3.8,2,4.9,0,0,1,1,1,1,709,0,283,2.9,1
STU-1091,Batch 2025,Male,Information Tech,60.4,73.4,5.71,1,1,26,42.1,3.1,2,2.4,1,3,2,0,0,3,607,2,321,3.7,0
STU-1092,Batch 2025,Female,Information Tech,62.7,70.0,8.23,0,1,30,66.3,3.4,3,5.0,0,0,1,0,0,20,32,0,362,3.2,1
STU-1093,Batch 2024,Female,Computer Science,90.6,91.0,8.07,0,0,36,68.2,4.0,1,3.6,1,3,2,0,0,20,36,0,238,3.1,1
STU-1094,Batch 2025,Female,Computer Science,72.5,78.6,6.28,1,2,58,71.1,2.4,2,3.3,0,0,1,0,2,6,150,2,347,3.9,0
STU-1095,Batch 2024,Male,Electronics,98.0,78.3,7.13,0,1,29,61.8,2.9,2,3.6,1,3,2,1,2,12,183,5,300,2.3,1
STU-1096,Batch 2024,Male,Computer Science,72.4,81.8,7.36,0,0,2,65.2,3.8,1,5.0,1,6,0,1,0,3,242,0,307,2.4,1
STU-1097,Batch 2024,Male,Information Tech,79.8,62.5,7.25,1,1,233,73.1,5.0,2,2.3,0,0,0,0,0,20,36,0,345,3.6,0
STU-1098,Batch 2023,Female,Computer Science,93.4,86.4,7.77,0,1,371,82.6,3.3,1,2.2,1,3,0,1,0,1,575,0,136,3.6,1
STU-1099,Batch 2023,Female,Information Tech,98.0,74.2,8.97,0,0,46,40.6,3.9,1,2.5,0,0,1,0,0,1,183,2,326,3.9,0
STU-1100,Batch 2023,Male,Information Tech,98.0,82.4,8.59,0,0,45,62.8,3.3,1,3.2,1,2,2,0,0,1,338,0,343,5.0,1
STU-1101,Batch 2024,Female,Computer Science,90.1,63.2,5.96,1,1,1,71.0,5.0,1,1.6,0,0,2,1,0,6,140,0,338,3.7,0
STU-1102,Batch 2024,Male,Computer Science,88.2,57.9,8.08,0,0,125,55.1,2.0,2,3.2,1,2,0,0,1,6,96,0,290,4.1,0
STU-1103,Batch 2024,Male,Computer Science,83.9,84.0,8.86,0,0,192,92.2,3.5,2,4.7,1,2,0,0,0,3,680,0,479,2.8,1
STU-1104,Batch 2025,Female,Computer Science,85.8,79.1,7.83,0,0,17,59.1,2.1,4,3.3,2,4,0,0,2,20,157,0,270,4.2,1
STU-1105,Batch 2023,Female,Civil,72.5,65.1,8.6,0,1,19,67.4,1.4,2,2.9,1,2,0,0,0,3,363,0,352,3.2,1
STU-1106,Batch 2024,Female,Computer Science,69.8,65.4,9.61,0,0,172,75.8,3.6,0,2.6,1,6,1,1,0,1,551,5,500,3.7,1
STU-1107,Batch 2025,Female,Mechanical,78.0,87.4,8.53,0,0,105,59.7,3.5,3,4.0,0,0,2,2,1,3,203,2,309,3.5,0
STU-1108,Batch 2023,Male,Computer Science,76.3,61.9,7.67,0,0,5,42.1,3.2,3,2.5,2,6,3,0,1,6,143,0,350,4.4,1
STU-1109,Batch 2023,Female,Electronics,73.5,93.1,8.55,0,0,107,62.0,3.3,2,4.9,1,2,1,0,0,12,10,0,307,2.6,1
STU-1110,Batch 2023,Male,Electronics,85.0,65.1,7.56,0,0,41,82.4,5.0,2,4.9,0,0,2,1,0,3,10,0,493,1.8,0
STU-1111,Batch 2023,Female,Information Tech,87.6,82.0,7.43,0,1,51,63.3,3.2,4,3.4,2,12,1,2,2,6,40,0,284,3.4,0
STU-1112,Batch 2025,Male,Information Tech,78.9,71.4,7.01,0,1,162,56.1,3.8,2,3.2,0,0,0,0,0,3,37,5,500,4.0,0
STU-1113,Batch 2025,Female,Information Tech,92.8,81.6,9.12,1,1,183,81.0,2.9,3,4.1,1,3,1,0,0,6,53,50,305,3.7,1
STU-1114,Batch 2024,Male,Computer Science,66.6,69.0,6.5,1,1,56,63.4,3.6,0,4.2,1,2,1,1,0,20,65,0,200,4.6,1
STU-1115,Batch 2025,Female,Civil,76.1,73.2,9.09,1,1,323,60.9,3.2,1,2.5,0,0,1,1,1,1,80,0,415,3.9,1
STU-1116,Batch 2025,Male,Mechanical,70.8,75.5,7.95,0,0,57,70.1,3.1,2,2.7,1,6,0,0,1,12,98,0,277,3.1,1
STU-1117,Batch 2023,Female,Civil,59.3,64.0,5.86,1,1,163,78.8,4.9,2,2.0,0,0,0,1,2,6,19,2,407,1.7,0
STU-1118,Batch 2025,Male,Computer Science,77.2,83.1,7.8,0,0,73,98.0,4.3,3,3.6,0,0,0,0,0,3,10,2,20,3.4,1
STU-1119,Batch 2024,Male,Electronics,76.8,69.4,5.09,1,2,251,79.6,3.5,4,3.8,0,0,3,0,0,20,202,5,321,4.4,1
STU-1120,Batch 2025,Male,Civil,93.1,72.5,8.09,0,0,262,84.2,1.6,1,2.0,1,6,1,0,0,3,139,2,256,3.3,1
STU-1121,Batch 2025,Male,Computer Science,84.3,64.1,8.37,0,0,10,60.9,3.1,0,2.8,0,0,2,2,1,3,106,0,171,3.6,1
STU-1122,Batch 2024,Female,Computer Science,67.8,48.0,6.75,0,0,303,53.6,5.0,3,2.0,0,0,2,0,0,1,181,2,243,3.9,1
STU-1123,Batch 2023,Male,Electronics,96.5,72.9,7.54,0,0,192,68.9,3.2,2,2.4,1,2,0,0,0,3,317,2,240,2.8,1
STU-1124,Batch 2023,Female,Information Tech,90.2,97.0,9.55,0,0,172,69.5,4.3,1,3.7,0,0,1,0,0,12,100,2,313,4.1,1
STU-1125,Batch 2024,Male,Mechanical,83.8,83.6,6.84,0,0,25,52.9,4.6,2,2.5,0,0,2,2,0,6,184,0,129,4.9,1
STU-1126,Batch 2025,Male,Computer Science,75.7,74.8,6.24,1,1,180,65.5,3.6,2,2.9,0,0,1,0,1,12,553,2,364,3.5,1
STU-1127,Batch 2025,Female,Electronics,68.4,72.1,9.03,0,0,209,73.6,2.7,2,1.7,0,0,2,0,0,3,329,2,500,2.7,1
STU-1128,Batch 2023,Female,Computer Science,74.3,75.2,9.56,0,0,38,73.0,1.5,2,3.4,1,3,0,0,2,1,100,2,359,3.5,1
STU-1129,Batch 2024,Male,Computer Science,88.9,81.0,7.4,0,0,335,75.1,3.9,1,3.2,0,0,0,1,0,1,186,2,433,1.8,0
STU-1130,Batch 2024,Female,Computer Science,96.8,62.0,8.51,0,0,6,72.1,2.7,4,2.5,3,6,2,0,2,3,35,2,473,3.9,0
STU-1131,Batch 2023,Female,Mechanical,93.4,87.3,8.88,0,0,18,60.9,3.5,2,3.0,1,2,2,0,1,20,148,2,493,4.0,1
STU-1132,Batch 2023,Male,Electronics,73.1,82.9,6.58,0,1,85,60.8,2.4,2,3.4,0,0,3,0,0,6,717,2,500,4.9,0
STU-1133,Batch 2024,Other,Information Tech,66.8,82.9,6.87,0,0,94,51.2,3.2,1,2.5,0,0,1,2,2,3,131,2,250,3.4,0
STU-1134,Batch 2025,Female,Information Tech,79.4,79.8,8.75,0,0,114,93.0,3.4,2,1.9,0,0,2,0,0,12,473,0,219,3.9,1
STU-1135,Batch 2024,Female,Mechanical,60.3,75.2,9.25,0,0,2,68.2,3.6,1,4.8,1,2,2,1,1,6,94,0,430,2.9,0
STU-1136,Batch 2024,Male,Information Tech,81.2,82.4,8.02,0,0,355,64.9,2.5,1,2.6,0,0,2,2,1,1,1200,0,419,3.3,1
STU-1137,Batch 2025,Female,Mechanical,76.5,81.5,6.43,1,1,5,55.0,4.4,2,3.1,0,0,1,2,1,12,156,2,429,2.4,0
STU-1138,Batch 2024,Male,Information Tech,73.3,71.1,9.59,0,0,17,98.0,2.9,1,4.1,2,6,0,0,0,3,10,2,500,3.4,1
STU-1139,Batch 2025,Male,Information Tech,62.1,68.7,6.82,0,0,2,53.0,2.1,2,5.0,0,0,2,3,0,1,159,15,322,3.4,0
STU-1140,Batch 2025,Male,Information Tech,83.1,76.1,7.03,0,0,92,62.0,3.3,1,2.1,0,0,1,0,0,3,58,0,380,3.8,0
STU-1141,Batch 2023,Male,Computer Science,72.7,92.0,7.78,1,2,296,73.8,3.4,2,3.6,2,6,1,0,0,3,10,0,183,3.1,1
STU-1142,Batch 2024,Female,Electronics,66.3,61.4,9.11,0,0,121,76.4,3.5,1,2.6,1,3,1,2,1,3,310,0,500,3.7,1
STU-1143,Batch 2024,Female,Information Tech,50.0,58.9,8.34,0,1,190,81.4,4.5,0,2.7,0,0,1,0,1,3,58,0,273,3.3,1
STU-1144,Batch 2023,Female,Computer Science,77.7,76.8,7.86,0,0,1,93.3,3.2,1,2.6,1,2,1,0,2,1,287,2,277,3.3,1
STU-1145,Batch 2023,Male,Mechanical,95.7,75.6,7.91,1,1,86,75.1,3.3,3,2.2,0,0,0,0,0,6,61,0,271,3.7,0
STU-1146,Batch 2024,Male,Information Tech,94.6,76.9,7.45,0,1,68,53.2,2.5,3,3.2,1,3,2,1,1,20,39,2,230,3.6,0
STU-1147,Batch 2024,Male,Information Tech,73.4,77.7,8.01,0,0,76,64.4,4.1,1,1.9,1,2,1,0,2,6,656,2,218,4.2,1
STU-1148,Batch 2023,Other,Civil,72.0,72.5,5.0,1,1,8,72.3,3.5,2,4.1,1,2,1,1,1,3,81,0,247,3.5,0
STU-1149,Batch 2023,Male,Electronics,82.7,91.4,7.07,0,0,127,97.0,3.1,2,3.2,2,6,0,2,0,3,166,5,129,3.3,1
STU-1150,Batch 2025,Female,Computer Science,68.0,57.4,7.67,0,0,77,48.4,1.9,4,3.6,2,6,0,1,0,3,169,0,210,3.5,1
STU-1151,Batch 2023,Female,Civil,81.0,65.9,6.13,0,0,159,84.8,4.6,1,2.8,2,6,0,0,0,1,148,0,500,3.0,1
STU-1152,Batch 2023,Male,Electronics,85.7,73.9,7.82,0,0,73,70.5,2.4,2,2.9,1,3,1,2,0,6,443,5,423,3.3,1
STU-1153,Batch 2024,Female,Computer Science,90.3,56.9,7.18,0,1,18,79.7,2.9,0,3.5,0,0,0,0,0,6,202,5,450,5.0,0
STU-1154,Batch 2025,Male,Computer Science,77.0,73.1,9.33,0,0,115,66.6,3.7,1,2.2,1,6,2,0,2,6,93,0,485,2.9,1
STU-1155,Batch 2023,Female,Electronics,76.0,93.3,9.13,0,1,21,56.2,2.4,4,2.9,1,6,0,0,0,6,357,0,500,3.4,1
STU-1156,Batch 2025,Female,Electronics,69.2,75.2,6.89,1,2,226,78.5,2.2,2,2.4,2,6,0,0,0,3,36,0,72,3.3,0
STU-1157,Batch 2025,Male,Information Tech,69.7,77.5,7.23,0,0,104,77.2,1.7,1,2.4,0,0,0,0,0,3,141,0,148,3.4,1
STU-1158,Batch 2023,Male,Mechanical,75.7,61.1,7.32,0,0,19,81.6,4.0,1,1.3,2,12,0,0,1,6,541,15,207,3.3,1
STU-1159,Batch 2025,Female,Electronics,81.7,68.2,6.9,0,1,361,67.8,3.0,2,4.4,1,2,2,0,2,3,177,2,254,3.8,1
STU-1160,Batch 2024,Female,Computer Science,87.1,70.9,7.61,0,1,80,59.6,5.0,2,2.6,3,6,2,0,1,3,306,0,278,2.2,1
STU-1161,Batch 2024,Male,Computer Science,70.0,71.5,6.57,1,1,8,46.2,2.6,1,4.2,2,4,1,1,0,3,191,5,257,4.4,1
STU-1162,Batch 2024,Female,Computer Science,92.9,89.1,6.16,0,0,108,79.5,2.7,4,4.2,0,0,0,1,0,3,329,0,351,4.1,1
STU-1163,Batch 2024,Female,Electronics,75.3,81.1,8.08,0,0,32,73.9,2.9,0,2.0,0,0,0,1,1,1,520,0,325,2.6,0
STU-1164,Batch 2023,Female,Computer Science,77.8,62.8,8.09,0,0,179,54.5,3.6,1,2.2,0,0,1,0,0,12,57,15,219,1.8,0
STU-1165,Batch 2025,Male,Information Tech,70.5,77.7,6.52,0,0,187,60.5,3.0,3,5.0,0,0,3,0,0,12,33,5,20,2.8,1
STU-1166,Batch 2024,Female,Electronics,53.8,80.5,8.38,0,0,425,61.5,3.9,1,4.8,1,3,0,3,0,3,119,5,181,3.4,1
STU-1167,Batch 2023,Female,Mechanical,86.8,87.5,6.71,0,0,77,47.2,2.6,1,3.2,1,2,1,0,0,1,218,2,243,5.0,1
STU-1168,Batch 2023,Male,Computer Science,85.4,92.4,7.68,0,0,67,56.6,2.3,2,3.4,2,4,1,2,1,6,46,2,285,4.0,1
STU-1169,Batch 2024,Male,Mechanical,75.2,63.8,8.3,1,1,154,52.1,2.0,3,2.6,1,3,0,0,0,3,10,0,162,2.2,0
STU-1170,Batch 2025,Female,Computer Science,78.7,66.1,7.36,1,1,16,62.2,1.6,1,3.6,0,0,1,2,0,3,76,2,251,3.0,0
STU-1171,Batch 2023,Male,Mechanical,83.2,61.2,7.9,0,0,87,57.7,3.0,3,2.6,0,0,0,0,0,1,624,50,162,3.6,0
STU-1172,Batch 2024,Female,Computer Science,62.4,72.4,6.83,0,0,87,45.2,3.2,2,1.4,0,0,2,0,0,3,214,0,302,3.8,0
STU-1173,Batch 2023,Male,Information Tech,72.7,80.1,7.18,0,0,10,96.3,2.9,1,2.0,0,0,0,1,0,6,92,2,170,2.5,0
STU-1174,Batch 2024,Male,Electronics,85.9,85.9,7.17,0,0,60,85.5,4.4,2,3.2,1,2,1,0,0,12,39,0,201,3.5,1
